price,location,bedrooms,toilet,garage,LT,LB
1280000000,"Jatisampurna, Bekasi",2.0,2.0,,55.0,53.0
55000000000,"Patal Senayan, Jakarta Selatan",5.0,5.0,1.0,435.0,1000.0
1280000000,"Kunciran, Tangerang",3.0,2.0,1.0,88.0,110.0
1750000000,"Blimbing, Malang",3.0,3.0,,220.0,197.0
890000000,"Gedangan, Sidoarjo",3.0,1.0,1.0,,
1800000000,"Gununganyar, Surabaya",3.0,2.0,1.0,200.0,136.0
999000000,"Cimahi Utara, Cimahi",3.0,2.0,1.0,60.0,60.0
2000000000,"Kebomas, Gresik",5.0,4.0,1.0,126.0,252.0
646000000,"Berbah, Sleman",2.0,1.0,2.0,120.0,120.0
166000000,"Kaliwates, Jember",2.0,1.0,,66.0,27.0
650000000,"Sukun, Malang",2.0,2.0,1.0,102.0,84.0
1800000000,"Panjer, Denpasar",3.0,3.0,,85.0,114.0
750000000,"Jatikramat, Bekasi",2.0,1.0,1.0,78.0,78.0
2200000000,"Banjar Wijaya, Tangerang",3.0,3.0,1.0,144.0,200.0
1890000000,"Summarecon Tangerang, Tangerang",2.0,2.0,,1.0,60.0
7500000000,"Semarang Tengah, Semarang",4.0,3.0,2.0,326.0,260.0
280000000,"Bintara, Bekasi",4.0,2.0,,48.0,96.0
2550000000,"Daan Mogot, Tangerang",4.0,4.0,,90.0,150.0
1580000000,"Alam Sutera 2, Tangerang",3.0,2.0,1.0,72.0,84.0
600000000,"Sukamaju, Bogor",3.0,2.0,,123.0,70.0
2700000000,"Jimbaran, Badung",3.0,2.0,1.0,170.0,130.0
7500000000,"Denpasar Utara, Denpasar",5.0,5.0,2.0,360.0,570.0
2600000000,"Cibubur, Depok",4.0,3.0,1.0,150.0,180.0
2350000000,"Ciganjur, Jakarta Selatan",4.0,3.0,2.0,142.0,225.0
18800000000,"Bondalem, Buleleng",6.0,7.0,,5500.0,770.0
800000000,"Rawakalong, Tangerang",3.0,3.0,1.0,78.0,156.0
1250000000,"Suradita, Tangerang",3.0,2.0,2.0,77.0,60.0
3400000000,"BSD Delatinos, Tangerang",3.0,3.0,2.0,200.0,350.0
800000000,"Semen, Kediri",3.0,2.0,1.0,192.0,120.0
1300000000,"Sesetan, Denpasar",1.0,2.0,1.0,69.0,56.0
3900000000,"Green Ville, Jakarta Barat",4.0,3.0,,144.0,280.0
4000000000,"Kapuk Muara, Jakarta Utara",5.0,3.0,1.0,,
1700000000,"Kemang, Bogor",6.0,5.0,2.0,105.0,170.0
1450000000,"Legenda Wisata, Jakarta Timur",4.0,3.0,1.0,120.0,200.0
215000000,"Baleendah, Bandung",2.0,1.0,1.0,60.0,35.0
1900000000,"Tembalang, Semarang",12.0,12.0,1.0,107.0,144.0
6750000000,"Setra Sari, Bandung",4.0,3.0,2.0,520.0,336.0
600000000,"Colomadu, Karanganyar",3.0,2.0,2.0,75.0,80.0
1770000000,"Ciputat Timur, Tangerang Selatan",3.0,3.0,,180.0,120.0
575000000,"Bubulak, Bogor",2.0,1.0,1.0,72.0,36.0
2250000000,"Gunung Batu, Bandung",3.0,2.0,2.0,325.0,160.0
3750000000,"Simpang Lima, Semarang",3.0,2.0,1.0,206.0,220.0
650000000,"Pamoyanan, Bogor",2.0,1.0,1.0,72.0,54.0
474000000,"Sukodono, Sidoarjo",2.0,1.0,1.0,60.0,36.0
1990000000,"Sidakarya, Denpasar",3.0,3.0,2.0,100.0,102.0
1000000000,"Tamansari, Bogor",4.0,4.0,,90.0,95.0
550000000,"Pondokmelati, Bekasi",2.0,1.0,,60.0,40.0
1390000000,"Cibodas, Tangerang",3.0,3.0,,82.0,62.0
2300000000,"Setra Duta, Bandung",3.0,2.0,,,
16500000000,"Sumurbandung, Bandung",8.0,3.0,,553.0,732.0
6500000000,"Lengkong, Bandung",4.0,3.0,4.0,289.0,251.0
19000000000,"Sayap Dago, Bandung",8.0,5.0,12.0,2.0,2.0
12700000000,"Riau, Bandung",4.0,1.0,,405.0,215.0
4550000000,"BKR, Bandung",4.0,1.0,2.0,266.0,116.0
16000000000,"Hegarmanah, Bandung",4.0,5.0,2.0,790.0,600.0
6000000000,"Dago Pakar, Bandung",3.0,3.0,2.0,387.0,225.0
5000000000,"Umalas, Badung",2.0,2.0,1.0,200.0,150.0
3200000000,"Kelapa Dua, Jakarta Barat",2.0,2.0,,144.0,136.0
520000000,"Babelan, Bekasi",2.0,1.0,,60.0,45.0
